depth,width,best_train_acc,best_val_acc,best_test_acc,best_train_loss,best_val_loss,best_test_loss
1,256,0.8753900527954102,0.8438810706138611,0.8446282744407654,0.48972786803795687,0.9903400536070802,0.9836748967284987
2,256,0.8820919990539551,0.8527988791465759,0.8538135290145874,0.45204188052601463,0.9417652860416799,0.9340474426592795
4,256,0.8852061629295349,0.8572741150856018,0.8580131530761719,0.4310706097187795,0.9232752991605252,0.917135059519809
8,256,0.8866910934448242,0.858207106590271,0.8588685989379883,0.42116910432848387,0.9394024383377141,0.9311640350580987
16,256,0.887941300868988,0.8589115142822266,0.8594014644622803,0.4148646650356707,0.9409511198488462,0.9355065773428697
