width,depth,lr,best_train_loss,best_train_loss_epoch,best_val_loss,best_val_loss_epoch,best_test_loss,best_test_loss_epoch,best_train_acc,best_train_acc_epoch,best_val_acc,best_val_acc_epoch,best_test_acc,best_test_acc_epoch
256,0,0.0009765625,1.0294150417331382,10,2.166739503747833,1,2.1567392757577437,1,0.7867569327354431,10,0.7106242179870605,1,0.7116470336914062,1
256,0,0.0016743046540099089,1.0340639404384642,10,2.1722896971746404,10,2.1565479896324833,1,0.7853257656097412,1,0.7081252336502075,1,0.7095094919204712,1
256,0,0.0028705751802257785,1.0382910243923515,10,2.17991004812683,10,2.1706159602231683,10,0.7852862477302551,1,0.7079108953475952,1,0.7092869281768799,1
256,0,0.00492156660115185,1.0423166008061486,10,2.2032733589468827,10,2.192674541843522,10,0.7838789224624634,10,0.7071269154548645,10,0.7078251242637634,10
256,0,0.00843796671009614,1.0510795538216449,10,2.2678033053846494,10,2.257151071158562,10,0.7817869186401367,10,0.703766405582428,10,0.7043707370758057,10
256,0,0.014466792379488917,1.08658257556284,10,2.376895614194747,10,2.3629458659540328,1,0.7759206295013428,10,0.6970351338386536,10,0.6988154649734497,10
256,0,0.024803141437003122,1.1264164010696864,10,2.4750529606193377,1,2.457352332644236,1,0.7676289081573486,1,0.6894076466560364,1,0.6901324391365051,1
256,0,0.042524687505449285,1.1853270662376991,10,2.746622351179378,10,2.74206401287154,10,0.7549837827682495,10,0.6755756139755249,10,0.6761656403541565,10
256,0,0.0729080649735073,1.4742070400517338,1,3.9708773739997394,1,3.9483962509976087,1,0.7264398336410522,1,0.6354964971542358,1,0.6352004408836365,1
256,0,0.125,1.707740216928454,1,4.778439282937754,1,4.742752578222173,1,0.7026235461235046,1,0.6086981296539307,1,0.6092554926872253,1
256,1,0.0009765625,0.4887438543905464,10,1.0049380699944719,10,0.9997162776536125,10,0.8756343722343445,10,0.8436156511306763,10,0.8437421917915344,10
256,1,0.0016743046540099089,0.489140800473649,10,1.0052817613371365,10,0.996217564737276,10,0.8752491474151611,10,0.8425927758216858,10,0.8437748551368713,10
256,1,0.0028705751802257785,0.49724544739653875,10,1.0325047932687967,10,1.0266045741131327,10,0.8745856285095215,10,0.8426070809364319,10,0.8429990410804749,10
256,1,0.00492156660115185,0.5194726389585932,10,1.1287983035888223,10,1.1201987436848553,1,0.8701750636100769,10,0.832856297492981,10,0.8340383768081665,10
256,1,0.00843796671009614,0.544985712606631,10,1.1591059453002495,10,1.150883126908579,10,0.8660332560539246,10,0.828319787979126,10,0.8292630314826965,10
256,1,0.014466792379488917,0.6093041304954091,10,1.329207753804913,10,1.3118544596088306,10,0.8541367053985596,10,0.8150165677070618,10,0.8159720301628113,10
256,1,0.024803141437003122,0.6252347586873709,10,1.3577291023445843,10,1.340373520012874,10,0.8551684021949768,10,0.8145367503166199,10,0.8145245313644409,10
256,1,0.042524687505449285,1.3215113856637908,1,3.5983388907886913,1,3.595521084410067,1,0.8151429891586304,1,0.7565913796424866,1,0.7564525604248047,1
256,1,0.0729080649735073,1.2327853075372988,1,3.2457407705669055,1,3.204173716879697,1,0.812808096408844,1,0.760811448097229,1,0.7611258625984192,1
256,1,0.125,1.3195281158299963,1,3.6728624361192983,1,3.6868909233323777,1,0.815994381904602,1,0.7560217976570129,1,0.7550581097602844,1
256,2,0.0009765625,0.4531881211200562,10,0.9592161925898806,10,0.9485644174103148,10,0.881476104259491,10,0.852245569229126,10,0.8530928492546082,10
256,2,0.0016743046540099089,0.45439295196313884,10,0.9805366076736782,10,0.9728815353099302,10,0.8816714286804199,10,0.852645754814148,10,0.8535685539245605,10
256,2,0.0028705751802257785,0.4652145003157485,10,1.0201148181939648,10,1.0101024793861941,10,0.879280686378479,10,0.8490116596221924,10,0.8498671054840088,10
256,2,0.00492156660115185,0.49612551832911683,10,1.0932816089851927,10,1.0830981913896718,10,0.8746965527534485,10,0.8424743413925171,10,0.8426315784454346,10
256,2,0.00843796671009614,0.5554936326257012,10,1.2110821746753462,10,1.2104355547411902,10,0.8648368716239929,10,0.8302286863327026,10,0.830798327922821,10
256,2,0.014466792379488917,0.6613693545074704,1,1.460189432243437,1,1.4536672421001282,1,0.8509817123413086,10,0.8058537244796753,10,0.8062028884887695,10
256,2,0.024803141437003122,1.3216853866442042,10,4.097818769504247,10,4.071988664846476,10,0.8108106851577759,10,0.7458851337432861,10,0.7461484670639038,10
256,2,0.042524687505449285,8.655314697393424,10,30.384372011320213,10,30.391013785343112,10,0.7776342630386353,1,0.7088235020637512,1,0.7097238302230835,1
256,2,0.0729080649735073,22.808602566352903,10,80.68416195838125,10,80.30704968405806,10,0.75774747133255,10,0.6888339519500732,10,0.6890932321548462,10
256,2,0.125,53.46570666186996,10,204.75873172809995,10,200.10458231929653,10,0.7628011703491211,10,0.6872516870498657,10,0.6874334216117859,10
256,4,0.0009765625,0.4270709957881388,10,0.9498975308878559,10,0.940085665365101,10,0.8855498433113098,10,0.8570944666862488,10,0.8579131364822388,10
256,4,0.0016743046540099089,0.43399711074985853,10,0.9821665586483076,10,0.9743822902831772,10,0.8834905028343201,10,0.8541524410247803,10,0.8543035387992859,10
256,4,0.0028705751802257785,0.4580934614153361,10,1.0446019376937814,1,1.0434304946837762,10,0.8800340294837952,10,0.8489095568656921,10,0.849307656288147,10
256,4,0.00492156660115185,0.5010446680370733,10,1.0941139548331957,1,1.0840037691437066,1,0.872606635093689,10,0.8400775194168091,10,0.8407981991767883,10
256,4,0.00843796671009614,0.5806855550992175,1,1.1629007457852034,1,1.1522654367748193,1,0.8570065498352051,1,0.8221744894981384,1,0.8234668374061584,1
256,4,0.014466792379488917,0.6403589753459811,10,1.4620425726190092,10,1.4646736370811524,10,0.8500398397445679,10,0.8071297407150269,10,0.8072746992111206,10
256,4,0.024803141437003122,0.741074694176601,1,1.6055177178508866,1,1.6125908574907555,1,0.8378908038139343,1,0.7885081171989441,1,0.7886795997619629,1
256,4,0.042524687505449285,123.82356559652364,1,346.38020038631606,1,348.6301249430269,1,0.7275994420051575,10,0.662221372127533,1,0.6627317667007446,1
256,4,0.0729080649735073,742.3977555289921,1,2236.769921338874,1,2200.58071356472,1,0.75782710313797,10,0.6930519342422485,10,0.6926436424255371,10
256,4,0.125,14355.98380743328,1,41095.021551597085,1,40448.573436265455,1,0.7495898008346558,10,0.6794118285179138,10,0.6791811585426331,10
256,8,0.0009765625,0.4172653082652619,10,0.9879846984583507,10,0.9821024763009418,10,0.8879133462905884,10,0.8591483235359192,10,0.859726071357727,10
256,8,0.0016743046540099089,0.43180177873494774,10,0.9732189890666647,10,0.9627492764173081,10,0.8851639628410339,10,0.8559327721595764,10,0.8563941717147827,10
256,8,0.0028705751802257785,0.460191231810259,10,1.0275394773246516,10,1.014308844444137,10,0.880294680595398,10,0.8496200442314148,10,0.8505041003227234,10
256,8,0.00492156660115185,0.5081693390224135,10,1.0693577636129021,10,1.0656482660387288,10,0.8715620040893555,10,0.8372232913970947,10,0.8371865749359131,10
256,8,0.00843796671009614,0.5699246764388782,1,1.1931686123815926,1,1.1929715252489976,1,0.8593496680259705,1,0.8236138224601746,1,0.823830246925354,1
256,8,0.014466792379488917,0.6735784581024177,1,1.3964480962944028,1,1.3908779856074187,1,0.844451904296875,1,0.7970033288002014,1,0.7980772256851196,1
256,8,0.024803141437003122,1.4605237714474968,1,3.21100507580606,1,3.0967861647927215,1,0.7689825296401978,1,0.7045156359672546,1,0.7047075629234314,1
256,8,0.042524687505449285,3.833657530921976,1,9.18872677970832,1,8.061517490124533,1,0.7145704627037048,1,0.6303209662437439,1,0.6304332613945007,1
256,8,0.0729080649735073,54998770.180894874,1,200245138.91452533,10,203390543.98889357,10,0.2381502389907837,1,0.2319898009300232,1,0.2321184277534485,1
256,8,0.125,20349732.251852266,1,67874637.0173824,1,68560804.68886049,1,0.22064261138439178,10,0.2045503705739975,10,0.2040787637233734,10
256,16,0.0009765625,0.4271091576452948,10,0.9940304151044873,10,0.9833797051992323,10,0.8856832385063171,10,0.8566697835922241,10,0.8573945760726929,10
256,16,0.0016743046540099089,0.44263370292221427,10,0.9978049759752794,10,0.991170280932872,10,0.8827821016311646,10,0.853358268737793,10,0.8535991907119751,10
256,16,0.0028705751802257785,0.46532009656639994,10,1.0331648810221552,10,1.020674415453106,10,0.8794630765914917,10,0.849401593208313,10,0.8493567109107971,10
256,16,0.00492156660115185,0.566871422958013,1,1.1148447385597162,1,1.1098675549295345,1,0.8575809597969055,1,0.8190752863883972,1,0.8208964467048645,1
256,16,0.00843796671009614,0.5782523132877753,10,1.2339518983978894,1,1.2308386115125025,1,0.8627223968505859,10,0.8246775269508362,10,0.8248061537742615,10
256,16,0.014466792379488917,1.0224386779475259,1,2.1095180379284857,1,2.067145058886411,1,0.7795676589012146,1,0.7008979320526123,1,0.7010040879249573,1
256,16,0.024803141437003122,8300812.652035467,1,26105575.77731592,1,25284639.87067533,1,0.13241033256053925,10,0.13552100956439972,10,0.13473089039325714,10
256,16,0.042524687505449285,3190238331.686431,1,9751987029.145874,1,9792759114.059298,1,0.1545742303133011,1,0.16915473341941833,1,0.16831766068935394,1
