depth,width,best_train_acc,best_val_acc,best_test_acc,best_train_loss,best_val_loss,best_test_loss
0,512,0.7097678780555725,0.62676602602005,0.6274510025978088,0.9654762691821015,1.5951655219035594,1.6182116929992707
1,512,0.8750398755073547,0.652505099773407,0.6449396014213562,0.3613990606453104,1.5624165633544134,1.5890499692521138
2,512,0.9424461722373962,0.6533440947532654,0.6486225128173828,0.16848487323755176,1.5370584959879654,1.567721917511855
4,512,0.9590173959732056,0.6507265567779541,0.6478612422943115,0.11625904357782266,1.5506128651683189,1.587306535847601
8,512,0.9646803736686707,0.6458606123924255,0.6422854661941528,0.09779879462284288,1.5431805027663745,1.582608094453895
16,512,0.9683861136436462,0.6484781503677368,0.6360306739807129,0.08829375887892119,1.5695525561448267,1.6116271688229649
