Dataset: ogbn-arxiv, num nodes: 169343, num node features: 128, num classes: 40
mask sum
# Train: 7682066754
# Val: 2514937390
# Test: 4141437009
mask length
# Train: 90941
# Val: 29799
# Test: 48603
Using device: cuda

=== Training width=512 depth=2 lr=0.00195312 ===
Epoch 280 | Train: loss 2.5127, acc 0.3441, best 0.3441 (ep 280) | Val: loss 2.5301, acc 0.3418, best 0.3418 (ep 280) | Test: loss 2.5426, acc 0.3113, best 0.3113 (ep 280)
Epoch 290 | Train: loss 2.4814, acc 0.3557, best 0.3557 (ep 290) | Val: loss 2.4990, acc 0.3508, best 0.3508 (ep 290) | Test: loss 2.5125, acc 0.3203, best 0.3203 (ep 290)
Epoch 300 | Train: loss 2.4503, acc 0.3674, best 0.3674 (ep 300) | Val: loss 2.4680, acc 0.3607, best 0.3607 (ep 300) | Test: loss 2.4823, acc 0.3305, best 0.3305 (ep 300)
Epoch 310 | Train: loss 2.4196, acc 0.3789, best 0.3789 (ep 310) | Val: loss 2.4372, acc 0.3716, best 0.3716 (ep 310) | Test: loss 2.4522, acc 0.3419, best 0.3419 (ep 310)
Epoch 320 | Train: loss 2.3893, acc 0.3898, best 0.3898 (ep 320) | Val: loss 2.4067, acc 0.3825, best 0.3825 (ep 320) | Test: loss 2.4223, acc 0.3524, best 0.3524 (ep 320)
Epoch 330 | Train: loss 2.3597, acc 0.4002, best 0.4002 (ep 330) | Val: loss 2.3767, acc 0.3939, best 0.3939 (ep 330) | Test: loss 2.3929, acc 0.3644, best 0.3644 (ep 330)
Epoch 340 | Train: loss 2.3306, acc 0.4105, best 0.4105 (ep 340) | Val: loss 2.3471, acc 0.4041, best 0.4041 (ep 340) | Test: loss 2.3639, acc 0.3763, best 0.3763 (ep 340)
Epoch 350 | Train: loss 2.3022, acc 0.4202, best 0.4202 (ep 350) | Val: loss 2.3182, acc 0.4133, best 0.4133 (ep 350) | Test: loss 2.3354, acc 0.3876, best 0.3876 (ep 350)
Epoch 360 | Train: loss 2.2745, acc 0.4291, best 0.4291 (ep 360) | Val: loss 2.2898, acc 0.4243, best 0.4243 (ep 360) | Test: loss 2.3075, acc 0.3988, best 0.3988 (ep 360)
Epoch 370 | Train: loss 2.2475, acc 0.4375, best 0.4375 (ep 370) | Val: loss 2.2620, acc 0.4338, best 0.4338 (ep 370) | Test: loss 2.2802, acc 0.4099, best 0.4099 (ep 370)
