width,depth,lr,best_train_loss,best_train_loss_epoch,best_val_loss,best_val_loss_epoch,best_test_loss,best_test_loss_epoch,best_train_acc,best_train_acc_epoch,best_val_acc,best_val_acc_epoch,best_test_acc,best_test_acc_epoch
512,0,0.00048828125,1.796169582936048,50,1.98324189354835,50,1.9857250717008388,50,0.5060423612594604,50,0.4860565662384033,50,0.4821512997150421,50
512,0,0.0008844957658827216,1.409044278607742,50,1.7823935178403203,50,1.80164616952116,50,0.602104663848877,50,0.5615960359573364,50,0.5618171691894531,50
512,0,0.001602217492202417,1.2226304928799034,50,1.7218207554863765,50,1.7589016154286126,50,0.641613781452179,50,0.5881741046905518,50,0.5843466520309448,50
512,0,0.002902332595970602,1.1280715999753126,50,1.7013732551100222,50,1.7482052310818967,50,0.6664760708808899,50,0.6018993854522705,50,0.594880998134613,50
512,0,0.005257422627470142,1.0659584985805641,50,1.690387462284698,40,1.7471403814629194,40,0.6829922795295715,50,0.6088459491729736,50,0.6031314730644226,50
512,0,0.009523544173472464,1.0270290865194316,50,1.6872760678078529,40,1.7378523364895213,40,0.6940103769302368,50,0.6143830418586731,40,0.6073698997497559,40
512,0,0.017251398651153313,1.0032696257566593,50,1.700674090806604,20,1.754220745351249,20,0.6987497210502625,50,0.6158931255340576,50,0.6095302700996399,50
512,0,0.03125,0.9974163429673201,50,1.7158237400541065,20,1.7486888047508469,40,0.7010369300842285,50,0.615792453289032,50,0.6116083264350891,40
512,0,0.05660772901649415,0.9931759651820333,50,1.7212161187089654,20,1.7881463514277811,20,0.702257513999939,50,0.62136310338974,20,0.6109293699264526,20
512,0,0.10254191950095469,0.996539104606303,30,1.722931067576892,50,1.7683025466986915,20,0.7009599804878235,50,0.6224370002746582,50,0.6169166564941406,50
512,0,0.18574928614211852,1.0136775649145373,50,1.78481381283682,30,1.8146221367706477,10,0.6946482062339783,50,0.6095506548881531,10,0.6103121042251587,10
512,0,0.3364750481580891,1.0222649441589795,50,1.7876462139312508,10,1.8234039420265082,10,0.694054365158081,50,0.6138125658035278,10,0.6149620413780212,10
512,0,0.6095068271022372,1.0895209429117019,50,1.7947972423778515,1,1.7949634503894407,1,0.6907005906105042,50,0.5969663262367249,10,0.5971853733062744,1
512,0,1.104089513673812,1.0779995238903801,10,1.8015875601321243,10,1.864860747360024,10,0.6861481666564941,10,0.6233430504798889,10,0.6161965131759644,10
512,0,2.0,4.264471190603973,1,9.319292368066844,1,9.273124752413958,1,0.6571073532104492,10,0.5961273908615112,30,0.6002921462059021,30
512,1,0.00048828125,1.320077550289185,50,1.7501945279621391,50,1.7752895636477397,50,0.619016706943512,50,0.5737776160240173,50,0.5718782544136047,50
512,1,0.0008844957658827216,1.1802629847912514,50,1.6821401929482505,50,1.719023230892443,50,0.6520381569862366,50,0.5954897999763489,50,0.590910017490387,50
512,1,0.001602217492202417,1.0896662300712976,50,1.6355562565482629,50,1.680852482542713,50,0.6762956380844116,50,0.610221803188324,50,0.601876437664032,50
512,1,0.002902332595970602,1.0175098863798249,50,1.604106538011474,40,1.6411125077643645,40,0.6943732500076294,50,0.6168999075889587,50,0.6109911203384399,40
512,1,0.005257422627470142,0.9581319941766615,50,1.5773383234486436,50,1.622979617191436,50,0.7103396654129028,50,0.6301553845405579,50,0.6209904551506042,50
512,1,0.009523544173472464,0.9062371032264565,50,1.5576955843557467,30,1.599160769646853,30,0.7217646837234497,50,0.6333098411560059,50,0.625516951084137,50
512,1,0.017251398651153313,0.8582548500739359,50,1.5499924070351299,30,1.5888048586741306,20,0.7329697012901306,50,0.6388469338417053,30,0.632347822189331,30
512,1,0.03125,0.8103010311795343,50,1.5412367353815692,20,1.5793512934429534,20,0.744482696056366,50,0.6431088447570801,40,0.6441372036933899,40
512,1,0.05660772901649415,0.764178520746416,50,1.590537074436385,10,1.6405598028960513,20,0.7544451951980591,50,0.6427061557769775,40,0.637532651424408,40
512,1,0.10254191950095469,0.7752854416007577,50,1.6887723706289364,10,1.734954728978756,10,0.75145423412323,50,0.6345850825309753,50,0.6253317594528198,10
512,1,0.18574928614211852,0.7974099573955764,50,1.7610595364023196,1,1.8001489340958545,1,0.7421185374259949,40,0.6358938217163086,40,0.6275950074195862,40
512,1,0.3364750481580891,0.8643742531540959,50,1.7788336237243623,10,1.8152201289912617,1,0.7287691831588745,50,0.6174368262290955,20,0.6195913553237915,20
512,1,0.6095068271022372,0.9565017115462743,30,1.7326010945715469,10,1.7917565505323059,10,0.7096249461174011,40,0.6216987371444702,10,0.6209493279457092,10
512,1,1.104089513673812,1.014660034387482,30,1.8388715641159088,20,1.8891498918060246,20,0.6960886716842651,30,0.6216316223144531,20,0.616361141204834,20
512,1,2.0,9.945777508245119,40,26.818103394271056,40,27.43291606549493,40,0.6398434042930603,30,0.5663948655128479,30,0.5691418051719666,30
512,2,0.00048828125,1.2241230077747516,50,1.702170957462544,50,1.74126595265703,50,0.6411299705505371,50,0.5857914686203003,50,0.5809723734855652,50
512,2,0.0008844957658827216,1.12899828383177,50,1.6656609162007678,50,1.7192855170584314,40,0.664914608001709,50,0.5993154048919678,50,0.5895314812660217,50
512,2,0.001602217492202417,1.0526967909763398,50,1.6192661384283413,50,1.670737741329669,50,0.685048520565033,50,0.6118326187133789,50,0.6062177419662476,50
512,2,0.002902332595970602,0.9878559349359004,50,1.5766055836702033,50,1.623553921844607,40,0.7015647292137146,50,0.6257592439651489,50,0.6150649189949036,50
512,2,0.005257422627470142,0.9359616331108969,50,1.546995647161846,40,1.5892633053559035,40,0.7140893340110779,50,0.6344507932662964,40,0.627018928527832,40
512,2,0.009523544173472464,0.8899353041357962,50,1.5461893574639995,30,1.587277333199226,40,0.7248985767364502,50,0.635054886341095,30,0.6282739639282227,30
512,2,0.017251398651153313,0.8250429651606942,50,1.5349905007461353,30,1.5668202508092626,30,0.7413488030433655,50,0.6415315866470337,50,0.6376767158508301,40
512,2,0.03125,0.771731853833136,50,1.5071043543473335,20,1.5617777369575359,20,0.7536864280700684,50,0.6474713683128357,20,0.6418328285217285,20
512,2,0.05660772901649415,0.7243208912294531,50,1.56353888325957,10,1.6114092523138324,10,0.7633190751075745,50,0.644149124622345,30,0.6424500346183777,30
512,2,0.10254191950095469,0.7073038306521349,50,1.6873063846115954,10,1.7420574450148008,10,0.7641547918319702,50,0.6376053094863892,30,0.6317922472953796,20
512,2,0.18574928614211852,0.7305000883251895,50,1.7728972109681291,1,1.805626204775981,1,0.7630661725997925,50,0.639383852481842,20,0.6263399124145508,20
512,2,0.3364750481580891,0.7982581167457231,50,1.7523993899459875,10,1.829340637982305,10,0.7456153035163879,50,0.6350884437561035,20,0.6360512971878052,20
512,2,0.6095068271022372,0.9245432927798012,30,1.7764227386888927,10,1.8282982568653725,10,0.722215473651886,30,0.6346521973609924,30,0.6281299591064453,30
512,2,1.104089513673812,0.9333282219017514,30,1.929697078587829,30,1.9985554030733148,30,0.7150570154190063,30,0.6299875974655151,30,0.6233154535293579,30
512,2,2.0,6.278347378956019,10,14.928311780233615,10,16.430617609144328,10,0.5789797902107239,10,0.5365951657295227,20,0.5318601727485657,50
512,4,0.00048828125,1.1710784620559744,50,1.6708254070505046,50,1.7069277909965452,40,0.6543033123016357,50,0.5936105251312256,50,0.5873299837112427,40
512,4,0.0008844957658827216,1.0827675452285161,50,1.6211634635277221,50,1.6729762136275181,40,0.6762516498565674,50,0.6098191142082214,50,0.5992634296417236,50
512,4,0.001602217492202417,1.0158193668625874,50,1.5803124381174212,50,1.616204022142207,50,0.6931087374687195,50,0.6192154288291931,50,0.6110116839408875,50
512,4,0.002902332595970602,0.9628264764987752,50,1.565961771301145,50,1.6047515662916378,50,0.706260085105896,50,0.6236786246299744,50,0.6187683939933777,50
512,4,0.005257422627470142,0.9117985023108701,50,1.5281959839397488,40,1.5449485893154151,40,0.7199832797050476,50,0.6371018886566162,40,0.6383556723594666,40
512,4,0.009523544173472464,0.8681554907293002,50,1.5088890266640882,40,1.5425967510042398,40,0.7288681864738464,50,0.6450216174125671,40,0.642861545085907,40
512,4,0.017251398651153313,0.7965003913690067,50,1.5207556006916338,20,1.5527484594170302,20,0.7475176453590393,50,0.6446860432624817,50,0.6352282762527466,20
512,4,0.03125,0.7490248359135401,50,1.5652852192065545,20,1.6265899788667921,20,0.7569742798805237,50,0.6432766318321228,50,0.6345493197441101,50
512,4,0.05660772901649415,0.6817535066149489,50,1.5635241478168507,10,1.5896288350911563,10,0.7742932438850403,50,0.6402228474617004,40,0.6323683857917786,10
512,4,0.10254191950095469,0.7031115727011392,50,1.625590334919028,10,1.6490799240169953,10,0.7685202360153198,50,0.6459277272224426,20,0.6456185579299927,10
512,4,0.18574928614211852,0.7247525047645592,50,1.6841641755395138,10,1.719249774984741,10,0.7671897411346436,50,0.6408268809318542,30,0.6322037577629089,30
512,4,0.3364750481580891,0.784762777009836,50,1.7146530959177242,10,1.7878432594974147,10,0.7554678320884705,50,0.6276049613952637,20,0.6247762441635132,20
