depth,width,best_train_acc,best_val_acc,best_test_acc,best_train_loss,best_val_loss,best_test_loss
0,512,0.702257513999939,0.6233430504798889,0.6169166564941406,0.9931759651820333,1.6872760678078529,1.7378523364895213
1,512,0.7544451951980591,0.6431088447570801,0.6441372036933899,0.764178520746416,1.5412367353815692,1.5793512934429534
2,512,0.7641547918319702,0.6474713683128357,0.6424500346183777,0.7073038306521349,1.5071043543473335,1.5617777369575359
4,512,0.7742932438850403,0.6459277272224426,0.6456185579299927,0.6817535066149489,1.5088890266640882,1.5425967510042398
8,512,0.7784497737884521,0.6446189284324646,0.6391991972923279,0.6747173910370861,1.5101108189185053,1.5560148450996327
16,512,0.7810118794441223,0.641800045967102,0.6360924243927002,0.6650264723914067,1.4955586921553063,1.5267913327885123
