width,depth,lr,best_train_loss,best_train_loss_epoch,best_val_loss,best_val_loss_epoch,best_test_loss,best_test_loss_epoch,best_train_acc,best_train_acc_epoch,best_val_acc,best_val_acc_epoch,best_test_acc,best_test_acc_epoch
512,0,6.103515625e-05,1.0415246486663818,6000,1.027309536933899,6000,1.0542302131652832,6000,0.6971882869112941,6000,0.694620624853183,5980,0.68641853383536,6000
512,0,9.069789362408131e-05,1.0047855377197266,6000,1.0031185150146484,6000,1.0323491096496582,6000,0.7061501413004035,5990,0.6997550253364206,5990,0.690903853671584,6000
512,0,0.00013477655196213526,0.9854270815849304,6000,0.9957466721534729,6000,1.0272451639175415,6000,0.7094269911261147,6000,0.7028423772609819,5730,0.6925704174639425,5900
512,0,0.00020027718652530213,0.9770089387893677,6000,0.9954938888549805,5110,1.027030110359192,4910,0.7105595935826525,5960,0.7029430517802611,4070,0.6923235191243339,4140
512,0,0.0002976107554210143,0.9745968580245972,6000,0.995582103729248,4020,1.0269967317581177,4600,0.711285338846065,5450,0.7031108426457263,3750,0.692714441495381,5440
512,0,0.0004422478829413608,0.973897397518158,6000,0.9950560927391052,3370,1.025783896446228,3370,0.7116702037584808,5780,0.7025403537031444,2820,0.6928378906651853,4180
512,0,0.0006571778284337678,0.9736493229866028,6000,0.9943057894706726,2580,1.024083137512207,2580,0.7118131535830924,5380,0.7030772844726333,2030,0.6934139867909388,3910
512,0,0.0009765625,0.9735832214355469,5850,0.9941521883010864,1510,1.0225017070770264,1510,0.7118351458638018,5450,0.7030437262995403,1510,0.6943810052877395,4140
512,0,0.001451166297985301,0.9735475182533264,5840,0.9936846494674683,1350,1.0220601558685303,1350,0.7117911613023828,5040,0.7032786335111917,1350,0.6965619406209493,5530
512,0,0.002156424831394164,0.9735280871391296,5900,0.9931039214134216,1160,1.0205271244049072,1160,0.7118021574427376,3210,0.7033121916842847,1160,0.6959652696335618,660
512,0,0.003204434984404834,0.9735224843025208,5720,0.9928845167160034,890,1.0200763940811157,890,0.7118681342848661,4040,0.7032786335111917,660,0.6966853897907537,2420
512,0,0.004761772086736232,0.9735327363014221,4600,0.9915441870689392,590,1.0157287120819092,2450,0.7117801651620281,4000,0.7047887513003792,590,0.6989691994321339,2450
512,0,0.007075966127061769,0.9735651016235352,4240,0.991096019744873,530,1.011264443397522,530,0.7117691690216734,5930,0.7043860532232625,530,0.6988663251239635,1580
512,0,0.010514845254940277,0.9735543727874756,3580,0.9898332357406616,470,1.0077027082443237,470,0.7117141883198997,5140,0.7042518205308903,1150,0.7003065654383475,470
512,0,0.015625,0.973692774772644,2570,0.9929460287094116,820,1.004257321357727,300,0.711703192179545,2280,0.7036142152421222,1590,0.7004711643314199,300
512,1,6.103515625e-05,0.7452635169029236,6000,0.9124615788459778,5980,0.9455621838569641,5580,0.769861778515741,6000,0.7162320883251115,5860,0.7046890109664012,5270
512,1,9.069789362408131e-05,0.6573034524917603,6000,0.9168242812156677,4410,0.9507555365562439,4410,0.793514476418777,5990,0.7161985301520185,4260,0.7041334897022817,4520
512,1,0.00013477655196213526,0.5867568254470825,6000,0.919877290725708,3250,0.95289146900177,3250,0.8147480234437713,6000,0.7156615993825296,3250,0.7029812974507746,2750
512,1,0.00020027718652530213,0.53592449426651,5990,0.9196978211402893,2390,0.9502896666526794,2390,0.8303955311685598,5970,0.7177422061142992,2770,0.7048741847211077,2770
512,1,0.0002976107554210143,0.5110450387001038,5980,0.9215414524078369,1750,0.955659031867981,1580,0.8372571227499148,5980,0.7153595758246921,1750,0.704956484167644,2140
512,1,0.0004422478829413608,0.4930492043495178,6000,0.9222859144210815,1230,0.947697639465332,1230,0.8433489845064382,6000,0.7153595758246921,1230,0.7088657078781145,1700
512,1,0.0006571778284337678,0.4485638737678528,6000,0.9201204180717468,1240,0.9515274167060852,1050,0.8561814803004145,6000,0.7161985301520185,2120,0.7063144250354917,1050
512,1,0.0009765625,0.41522443294525146,5930,0.919699490070343,980,0.9448451399803162,1190,0.8661659757425144,5970,0.7158293902479949,1190,0.7106762957019114,1190
512,1,0.001451166297985301,0.37682631611824036,6000,0.9204975366592407,780,0.9499295353889465,800,0.8787565564486866,5870,0.7164334373636699,1050,0.7085570849536037,910
512,1,0.002156424831394164,0.30874547362327576,5900,0.9188283085823059,630,0.952109694480896,720,0.9001990301404207,5770,0.7169703681331588,630,0.710141349299426,920
512,1,0.003204434984404834,0.2637244760990143,5970,0.9207356572151184,460,0.9566720724105835,510,0.9176279126026765,5930,0.7177757642873922,730,0.7085982346768718,850
512,1,0.004761772086736232,0.20510071516036987,6000,0.9193546175956726,440,0.9422246813774109,410,0.9352547255913174,6000,0.7170039263062519,480,0.7117667633685163,410
512,1,0.007075966127061769,0.17689988017082214,5680,0.9253740310668945,330,0.9534410238265991,330,0.9458440087529277,5680,0.7156951575556226,420,0.7093800794189659,350
512,1,0.010514845254940277,0.2552821636199951,3240,0.9407380223274231,370,0.9667168855667114,370,0.9171110940060039,3240,0.7124735729386892,790,0.7072608686706582,410
512,1,0.015625,0.38416123390197754,2510,0.9403194189071655,470,0.966809868812561,460,0.8752267953948164,2510,0.7130776200543643,750,0.7065613233751002,500
512,2,6.103515625e-05,0.616966187953949,6000,0.9146671295166016,3510,0.9463537931442261,3350,0.8054562848440198,6000,0.7161314138058325,3680,0.7056148797399338,3350
512,2,9.069789362408131e-05,0.5641236305236816,5990,0.9181765913963318,2740,0.9446508884429932,2740,0.820455020287879,5980,0.715896506594181,3300,0.7046478612431332,2740
512,2,0.00013477655196213526,0.5304545164108276,6000,0.9131404161453247,1900,0.9448173642158508,1900,0.8301646122211104,6000,0.7173730662102755,1900,0.7057794786330062,1900
512,2,0.00020027718652530213,0.47836488485336304,6000,0.919471025466919,1550,0.9487947225570679,1480,0.8468347609988894,6000,0.7156615993825296,1550,0.7055737300166657,1380
